"id","groupId","resourceType","resourceId","archived"
"29596478","22509800","3","6142760","1"
"29597158","22602713","3","8580507","1"
"29611162","22585585","3","6148350","1"
"29611344","22501184","3","8361226","1"
"29616457","22509502","3","6143550","1"
"29617413","22602815","3","8589225","1"
"29620247","22543567","3","8582275","1"
"29622216","21971999","3","8447863","1"
"29624793","22203359","3","8275207","1"
"29625964","22437773","3","6143421","1"
"29626646","22546589","3","6149097","1"
"29626683","22596120","3","6145895","1"
"29626994","22503159","3","8578804","1"
"29627502","22626281","3","6145614","1"
"29627831","22458402","3","6145938","1"
"29627873","22492680","3","8080826","1"
"29630899","22629678","3","7778354","1"
"29679106","22626472","3","8591688","1"
"29682807","22438861","3","8079976","1"
"29687086","22545752","3","6144803","1"
"29692078","22612300","3","8496358","1"
"29694044","22675015","3","6150391","1"
"29713087","22652487","3","6141850","1"
"29719318","22309473","3","8540646","1"
"29720439","22235130","3","6145969","1"
"29735466","22705448","3","8230165","1"
"29738412","22661617","3","6146079","1"
"29746416","22507855","3","8579255","1"
"29762147","22647458","3","8599902","1"
"29768726","22670375","3","8602504","1"
"29770928","22622874","3","8318163","1"
"29771504","22617733","3","8579519","1"
"29771561","22622958","3","8591359","1"
"29776272","22357143","3","6151112","1"
"29776713","22402026","3","8566593","1"
"29777797","22720364","3","8607708","1"
"29777799","22615509","3","6148883","1"
"29777800","22478444","3","8575779","1"
"29777813","22208395","3","8527591","1"
"29839752","22779922","3","8614741","1"
"29841323","22735304","3","6149076","1"
"29841325","22725251","3","6148311","1"
"29841332","22162013","3","8524606","1"
"29848616","21674694","3","6144653","1"
"29866097","22626151","3","8520551","1"
"29866905","22735208","3","8408104","1"
"29866932","22718197","3","6142617","1"
"29868630","22481347","3","8015923","1"
"29894135","22693855","3","8496358","1"
"29894137","22586372","3","8584015","1"
"29910470","22570891","3","8359373","1"
"29915370","22507100","3","8575476","1"
"29915371","22629817","3","8597483","1"
"29915374","22734800","3","6142837","1"
"29916720","22698226","3","8605392","1"
"29917599","22512172","3","8576972","1"
"29920788","22801305","3","8617159","1"
"29921922","22790724","3","8615053","1"
"29922776","22767980","3","6151095","1"
"29923251","22434505","3","6147432","1"
"29923423","22840070","3","8621481","1"
"29923424","22840071","3","8621481","1"
"29923451","22624720","3","8573743","1"
"29967187","22861524","3","8591359","1"
"29975185","22835543","3","8621024","1"
"29981445","22662622","3","6148957","1"
"29983131","22660800","3","8275207","1"
"29995377","22884141","3","8395979","1"
"30004137","22853699","3","8622933","1"
"30007218","22805177","3","8617561","1"
"30011151","22771782","3","6148711","1"
"30032963","22923023","3","6149316","1"
"30037846","22761137","3","8612599","1"
"30047676","22905378","3","6148630","1"
"30051264","22888908","3","6142260","1"
"30052264","22885701","3","8591359","1"
"30052490","22874291","3","6142148","1"
"30057604","22881811","3","8108974","1"
"30060917","22733312","3","6145434","1"
"30068783","22407026","3","6145078","1"
"30068784","22629731","3","8597470","1"
"30068785","22827679","3","8620564","1"
"30068786","22874236","3","6149520","1"
"30068869","22459518","3","6150415","1"
"30068973","22936318","3","6144372","1"
"30069137","22547954","3","8383295","1"
"30099160","22973070","3","8636091","1"
"30117250","22982074","3","8159420","1"
"30118188","22987349","3","6143969","1"
"30127403","22985571","3","8641121","1"
"30127468","22874043","3","6144995","1"
"30156245","22995147","3","6146147","1"
"30157756","22980016","3","6144131","1"
"30158779","22931565","3","6149161","1"
"30182949","22982611","3","6150415","1"
"30185844","22987028","3","8159420","1"
"30186702","23037162","3","8646999","1"
"30205079","22961309","3","6143450","1"
"30207864","22949919","3","8190679","1"
"30208051","22685087","3","7963547","1"
"30208058","22770951","3","6143529","1"
"30209723","22921681","3","8633362","1"
"30209752","22277568","3","8353000","1"
